Date,Forest,PlotNum,PlotID,Quadrant,Circle,Xcoord,Ycoord,Type,Tree,Seedling,TSID,Species,DBH,Height,Comments
4-Oct-17,South Hammond,1,4,Q1,,4,3,Tree,91,,T91,White pine,<10,5,
4-Oct-17,South Hammond,1,4,Q1,,6.5,2,Tree,93,,T93,White pine,11,9,
4-Oct-17,South Hammond,2,5,Q1,,1,2,Tree,94,,T94,White pine,16,12,
4-Oct-17,South Hammond,2,5,Q1,,1.5,3,Tree,95,,T95,White pine,14.1,11,
4-Oct-17,South Hammond,2,5,Q1,,6.6,4.2,Tree,97,,T97,White pine,47.1,17,
11-Oct-17,South Hammond,3,6,Q1,,7.7,6,Tree,116,,T116,White pine,12,6.5,
11-Oct-17,South Hammond,3,6,Q3,,,,Tree,130,,T130,White pine,18.7,,
11-Oct-17,South Hammond,3,6,Q4,,,,Tree,131,,T131,White pine,10.7,,
4-Oct-17,South Hammond,1,4,Q2,,7,1,Tree,136,,T136,White pine,7.6,7.5,
4-Oct-17,South Hammond,1,4,Q2,,9,1,Tree,140,,T140,White pine,18.9,8,
4-Oct-17,South Hammond,1,4,Q3,,,,Tree,143,,T143,White pine,19,,
4-Oct-17,South Hammond,1,4,Q4,,,,Tree,148,,T148,White pine,12.5,,
4-Oct-17,South Hammond,1,4,Q4,,,,Tree,149,,T149,White pine,10.5,,
4-Oct-17,South Hammond,1,4,Q4,,,,Tree,152,,T152,White pine,27.3,,
4-Oct-17,South Hammond,1,4,,,,,Tree,155,,T155,White pine,8.7,,DEAD
1-Nov-17,Degrasse,1,10,Q1,,1,1,Tree,156,,T156,Red pine,42.7,21.5,
1-Nov-17,Degrasse,1,10,Q1,,8,2,Tree,157,,T157,White pine,13.1,9,
1-Nov-17,Degrasse,1,10,Q1,,5,5,Tree,158,,T158,Red pine,38,20.5,
1-Nov-17,Degrasse,1,10,Q1,,4,7,Tree,159,,T159,White pine,13.8,10,
1-Nov-17,Degrasse,1,10,Q2,,5,4,Tree,160,,T160,Red pine,38,20,
1-Nov-17,Degrasse,1,10,Q2,,3,9,Tree,161,,T161,Red pine,37.8,21,
1-Nov-17,Degrasse,1,10,Q3,,,,Tree,162,,T162,Red maple,17.1,,
1-Nov-17,Degrasse,1,10,Q3,,,,Tree,163,,T163,Red pine,36.8,,
1-Nov-17,Degrasse,1,10,Q3,,,,Tree,164,,T164,Red pine,33.2,,
1-Nov-17,Degrasse,1,10,Q4,,,,Tree,165,,T165,Red pine,34.4,,
1-Nov-17,Degrasse,1,10,Q4,,,,Tree,166,,T166,Red pine,38.9,,
1-Nov-17,Degrasse,1,10,Q4,,,,Tree,167,,T167,Red pine,34,,
1-Nov-17,Degrasse,1,10,Q4,,,,Tree,168,,T168,Red pine,36,,
1-Nov-17,Degrasse,2,11,Q1,,2,1,Tree,169,,T169,Red pine,40.8,18,
1-Nov-17,Degrasse,2,11,Q1,,4.1,4,Tree,170,,T170,Red pine,34.5,19,
1-Nov-17,Degrasse,2,11,Q1,,0.1,8.5,Tree,171,,T171,Red pine,42,20,
1-Nov-17,Degrasse,2,11,Q2,,1.5,10,Tree,172,,T172,Red pine,40.2,19,
1-Nov-17,Degrasse,2,11,Q2,,1.5,3,Tree,173,,T173,Red pine,35.5,21,
1-Nov-17,Degrasse,2,11,Q2,,5.4,3.9,Tree,174,,T174,Red pine,39.5,17,
1-Nov-17,Degrasse,2,11,Q2,,2.4,2.4,Tree,175,,T175,White pine,26.8,16,
1-Nov-17,Degrasse,2,11,Q2,,0.1,2.9,Tree,176,,T176,Red pine,37.7,21,
1-Nov-17,Degrasse,2,11,Q2,,1,8.5,Tree,177,,T177,Red pine,46.2,20,
1-Nov-17,Degrasse,2,11,Q3,,,,Tree,178,,T178,Red pine,29.5,,
